tournament_id,tournament_name,season,start_date,end_date,is_major,purse,course_name,yards,par,num_holes
212,Chrysler Classic of Greensboro,2005,2005-09-29T07:00Z,2005-10-02T07:00Z,False,5000000.0,Forest Oaks,7311,72,18
242,WGC-American Express Championship,2005,2005-10-06T07:00Z,2005-10-09T07:00Z,False,7500000.0,TPC Harding Park,0,0,18
234,Michelin Championship at Las Vegas,2005,2005-10-13T07:00Z,2005-10-16T07:00Z,False,4000000.0,TPC at Summerlin,0,0,18
234,Michelin Championship at Las Vegas,2005,2005-10-13T07:00Z,2005-10-16T07:00Z,False,4000000.0,TPC at The Canyons,7063,71,18
236,FUNAI Classic at the WALT DISNEY WORLD Resort,2005,2005-10-20T07:00Z,2005-10-23T07:00Z,False,4400000.0,Magnolia GC,0,0,18
236,FUNAI Classic at the WALT DISNEY WORLD Resort,2005,2005-10-20T07:00Z,2005-10-23T07:00Z,False,4400000.0,Palm GC,0,0,18
239,Chrysler Championship,2005,2005-10-27T07:00Z,2005-10-30T07:00Z,False,5300000.0,Innisbrook Resort -Copperhead,0,0,36
237,THE TOUR Championship presented by Coca-Cola,2005,2005-11-03T08:00Z,2005-11-06T08:00Z,False,6500000.0,East Lake Golf Club,0,0,18
224,Southern Farm Bureau Classic,2005,2005-11-03T08:00Z,2005-11-06T08:00Z,False,3000000.0,Annandale GC,0,0,18
248,Mercedes Championships,2006,2006-01-05T08:00Z,2006-01-08T08:00Z,False,5400000.0,Plantation Course,7411,73,18
254,Sony Open in Hawaii,2006,2006-01-12T08:00Z,2006-01-15T08:00Z,False,5100000.0,Waialae CC,7044,70,18
250,Bob Hope Chrysler Classic,2006,2006-01-18T08:00Z,2006-01-22T08:00Z,False,5000000.0,PGA West (Palmer),0,0,18
250,Bob Hope Chrysler Classic,2006,2006-01-18T08:00Z,2006-01-22T08:00Z,False,5000000.0,Bermuda Dunes CC,0,0,18
250,Bob Hope Chrysler Classic,2006,2006-01-18T08:00Z,2006-01-22T08:00Z,False,5000000.0,La Quinta CC,7060,72,36
250,Bob Hope Chrysler Classic,2006,2006-01-18T08:00Z,2006-01-22T08:00Z,False,5000000.0,The Classic Club,7305,72,18
253,Buick Invitational,2006,2006-01-26T08:00Z,2006-01-29T08:00Z,False,5100000.0,Torrey Pines North,0,0,18
253,Buick Invitational,2006,2006-01-26T08:00Z,2006-01-29T08:00Z,False,5100000.0,Torrey Pines South,0,0,18
