tournament_id,total_sg:ott,player_url,measured_rounds,average,rounds,player_id,rank_this_week,player_name,rank_last_week,time_period,tournament,season
t007,-.199,https://www.pgatour.com/players/player.23108.matt-kuchar.html,4,-.050,4,23108,51,Matt Kuchar,21,Tournament Only,The Genesis Invitational,2019
t007,-.254,https://www.pgatour.com/players/player.27974.sung-kang.html,4,-.064,4,27974,52,Sung Kang,7,Tournament Only,The Genesis Invitational,2019
t007,-.370,https://www.pgatour.com/players/player.34466.peter-malnati.html,4,-.093,4,34466,53,Peter Malnati,,Tournament Only,The Genesis Invitational,2019
t007,-.462,https://www.pgatour.com/players/player.29484.peter-uihlein.html,4,-.116,4,29484,54,Peter Uihlein,,Tournament Only,The Genesis Invitational,2019
t007,-.471,https://www.pgatour.com/players/player.30925.dustin-johnson.html,4,-.118,4,30925,55,Dustin Johnson,1,Tournament Only,The Genesis Invitational,2019
t007,-.576,https://www.pgatour.com/players/player.24924.bill-haas.html,4,-.144,4,24924,56,Bill Haas,,Tournament Only,The Genesis Invitational,2019
t007,-.695,https://www.pgatour.com/players/player.47990.kyle-jones.html,4,-.174,4,47990,57,Kyle Jones,,Tournament Only,The Genesis Invitational,2019
t007,-.705,https://www.pgatour.com/players/player.33448.justin-thomas.html,4,-.176,4,33448,58,Justin Thomas,,Tournament Only,The Genesis Invitational,2019
t007,-.730,https://www.pgatour.com/players/player.10809.jim-furyk.html,4,-.183,4,10809,59,Jim Furyk,29,Tournament Only,The Genesis Invitational,2019
t007,-1.066,https://www.pgatour.com/players/player.33399.adam-hadwin.html,4,-.267,4,33399,60,Adam Hadwin,5,Tournament Only,The Genesis Invitational,2019
t007,-1.079,https://www.pgatour.com/players/player.23325.vaughn-taylor.html,4,-.270,4,23325,61,Vaughn Taylor,,Tournament Only,The Genesis Invitational,2019
t007,-1.082,https://www.pgatour.com/players/player.33418.shawn-stefani.html,4,-.271,4,33418,62,Shawn Stefani,,Tournament Only,The Genesis Invitational,2019
t007,-1.235,https://www.pgatour.com/players/player.26596.ryan-moore.html,4,-.309,4,26596,63,Ryan Moore,,Tournament Only,The Genesis Invitational,2019
t007,-1.481,https://www.pgatour.com/players/player.01706.davis-love-iii.html,4,-.370,4,01706,64,Davis Love III,,Tournament Only,The Genesis Invitational,2019
t007,-1.710,https://www.pgatour.com/players/player.25632.jimmy-walker.html,4,-.428,4,25632,65,Jimmy Walker,,Tournament Only,The Genesis Invitational,2019
t007,-1.895,https://www.pgatour.com/players/player.35891.cameron-smith.html,4,-.474,4,35891,66,Cameron Smith,,Tournament Only,The Genesis Invitational,2019
t007,-2.193,https://www.pgatour.com/players/player.39954.cody-gribble.html,4,-.548,4,39954,67,Cody Gribble,42,Tournament Only,The Genesis Invitational,2019
